what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1330840936263
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1330840937695
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1330840941981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330840953571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330840955776
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1330840959843
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1330840959900
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1330840960242
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330840981878
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330841020298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330841022279
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1330841028455
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330841028748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330841065540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330841099010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330841132095
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330841157455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1330841173972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1330841174628
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1330841189451
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1330841189804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1330841190821
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1330841192729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1330841193513
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1330841195085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330841195682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330841248317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330841422290
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330841427324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330841437737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330841438937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845762878
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1330845766258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845770760
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845774765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845781424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845782727
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845787682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845789502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845791287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845792454
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1330845799461
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1330845799598
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1330845799809
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1330845800331
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1330845804475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845809198
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845814465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845819852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845837564
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1330845839671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1330845845187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1330845846363
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1330845854794
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1330845856575
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330845866461
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845869561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330845871658
